Commong lines / Lines that are correct: 12
applicant1, application1, checkStatus
eeStu1, application2, checkStatus
eeStu1, csStu1application, checkStatus
eeStu1, csStu2application, checkStatus
eeStu1, csStu3application, checkStatus
eeStu1, csStu4application, checkStatus
eeStu1, csStu5application, checkStatus
eeStu1, eeStu2application, checkStatus
eeStu1, eeStu3application, checkStatus
eeStu1, eeStu4application, checkStatus
eeStu1, eeStu5application, checkStatus
eeStu2, application1, checkStatus
eeStu2, application2, checkStatus
eeStu2, csStu1application, checkStatus
eeStu2, csStu2application, checkStatus
eeStu2, csStu3application, checkStatus
eeStu2, csStu4application, checkStatus
eeStu2, csStu5application, checkStatus
eeStu2, eeStu1application, checkStatus
eeStu2, eeStu3application, checkStatus
eeStu2, eeStu4application, checkStatus
eeStu2, eeStu5application, checkStatus
eeStu3, application1, checkStatus
eeStu3, application2, checkStatus
eeStu3, csStu1application, checkStatus
eeStu3, csStu2application, checkStatus
eeStu3, csStu3application, checkStatus
eeStu3, csStu4application, checkStatus
eeStu3, csStu5application, checkStatus
eeStu3, eeStu1application, checkStatus
eeStu3, eeStu2application, checkStatus
eeStu3, eeStu4application, checkStatus
eeStu3, eeStu5application, checkStatus
eeStu4, application1, checkStatus
eeStu4, application2, checkStatus
eeStu4, csStu1application, checkStatus
eeStu4, csStu2application, checkStatus
eeStu4, csStu3application, checkStatus
eeStu4, csStu4application, checkStatus
eeStu4, csStu5application, checkStatus
eeStu4, eeStu1application, checkStatus
eeStu4, eeStu2application, checkStatus
eeStu4, eeStu3application, checkStatus
eeStu4, eeStu5application, checkStatus
eeStu5, application1, checkStatus
eeStu5, application2, checkStatus
eeStu5, csStu1application, checkStatus
eeStu5, csStu2application, checkStatus
eeStu5, csStu3application, checkStatus
eeStu5, csStu4application, checkStatus
eeStu5, csStu5application, checkStatus
eeStu5, eeStu1application, checkStatus
eeStu5, eeStu2application, checkStatus
eeStu5, eeStu3application, checkStatus
eeStu5, eeStu4application, checkStatus

Total different lines: 288
