rule(position=patient, uid=oncPat2 ; rid=oncPat2HR ; {addNote} ; )
rule(position=agent, agentFor]{carPat2} ; rid=carPat2HR ; {addNote} ; )
rule(author=oncNurse2 ; rid=oncPat1nursingItem ; {read} ; )
rule(position=agent, agentFor]{carPat2} ; rid=carPat2HR ; {addNote} ; )
rule(position=doctor, specialties]{oncology}, teams]{oncTeam1} ; type=HR ; {addItem} ; patient=oncPat2)
rule(specialties]{oncology}, teams]{oncTeam1} ; rid=oncPat2oncItem ; {read} ; position=doctor)
rule(position=doctor, specialties]{oncology}, teams]{oncTeam2} ; type=HR ; {addItem} ; patient=oncPat2)
rule(position=nurse, ward=oncWard ; type=HR ; {addItem} ; patient=oncPat1)
rule(position=doctor, specialties]{anesthesiology}, teams]{oncTeam1 carTeam1} ; type=HR ; {addItem} ; patient=carPat1)
rule(position=nurse, ward=oncWard ; type=HR ; {addItem} ; patient=oncPat2)
rule(author=carDoc2 ; rid=carPat1carItem ; {read} ; )
rule(position=nurse, ward=oncWard ; type=HR ; {addItem} ; patient=oncPat2)
rule(position=doctor, specialties]{oncology}, teams]{oncTeam2} ; rid=oncPat2oncItem ; {read} ; )
rule(position=nurse; type=HRitem, topics]{nursing} ; {read} ; ward=carWard, patient=carPat2)
rule(position=doctor, specialties]{cardiology}, teams]{carTeam2} ; type=HR ; {addItem} ; patient=carPat2)
rule(position=nurse, ward=carWard ; type=HR, patient=carPat2 ; {addItem} ; )
rule(position=nurse, ward=oncWard ; type=HR, patient=oncPat2 ; {addItem} ; )
rule(position=nurse, ward=carWard ; type=HR, patient=carPat1 ; {addItem} ; )
rule(position=nurse, ward=oncWard ; type=HR, patient=oncPat1 ; {addItem} ; )
rule(author=anesDoc1; type=HR ; {addItem} ; patient=oncPat1, treatingTeam=oncTeam1)
rule(author=anesDoc1; type=HR ; {addItem} ; patient=carPat1, treatingTeam=carTeam1)
rule(position=doctor, specialties]{oncology}, teams]{oncTeam1}; type=HR ; {addItem} ; patient=oncPat1)
rule(author=oncDoc1; type=HRitem ; {read} ; rid=oncPat1oncItem)
rule(position=patient, uid=oncPat1 ; rid=oncPat1HR ; {addNote} ; )
rule(position=doctor, specialties]{cardiology}, teams]{carTeam1}; type=HR ; {addItem} ; patient=carPat1)
rule(author=carNurse1; type=HRitem; {read} ; rid=carPat1nursingItem)
rule(position=patient, uid=carPat1 ; rid=carPat1noteItem ; {read} ; )
rule(author=doc1; type=HRitem; {read} ; rid=oncPat2oncItem)
rule(specialties]{oncology}, teams]{oncTeam2} ; rid=oncPat2oncItem ; {read} ; position=doctor)
rule(author=carDoc2; type=HRitem; {read} ; rid=carPat1carItem)
rule(specialties]{cardiology}, teams]{carTeam2}; type=HR; {addItem} ; patient=carPat2)
rule(position=agent, agentFor]{carPat2} ; rid=carPat2noteItem ; {read} ; )
rule(position=agent, agentFor]{oncPat2} ; rid=oncPat2noteItem ; {read} ; )
rule(position=patient, uid=carPat2 ; rid=carPat2HR ; {addNote} ; )
rule(position=patient, uid=oncPat2 ; rid=oncPat2HR ; {addNote} ; )
rule(position=agent, agentFor]{carPat2} ; rid=carPat2HR ; {addNote} ; )
rule(position=agent, agentFor]{oncPat2} ; rid=oncPat2HR ; {addNote} ; )
rule(author=oncNurse2; type=HRitem ; {read} ; rid=oncPat1nursingItem)
rule(position=patient, uid=carPat1 ; rid=carPat1HR ; {addNote} ; )
rule(position=patient, uid=oncPat1 ; rid=oncPat1noteItem ; {read} ; )
rule(position=nurse ; type=HRitem, topics]{nursing} ; {read}; patient=carPat1, ward=carWard)
rule(position=nurse ; type=HRitem, topics]{nursing} ; {read}; patient=oncPat2, ward=oncWard)
rule(author=carDoc2; type=HRitem; {read} ; rid=carPat2carItem)
rule(author=doc2; type=HRitem; {read} ; rid=carPat2carItem)
rule(position=doctor, specialties]{anesthesiology}, teams]{oncTeam1 carTeam1} ; type=HR; {addItem} ; patient=carPat1, treatingTeam=carTeam1)
rule(position=doctor, specialties]{anesthesiology}, teams]{oncTeam1 carTeam1} ; type=HR; {addItem} ; patient=oncPat1, treatingTeam=oncTeam1)
rule(ward=oncWard ; type=HR, patient=oncPat1 ; {addItem} ; position=nurse)
rule(ward=carWard ; type=HR, patient=carPat1 ; {addItem} ; position=nurse)
rule(author=oncDoc1 ; type=HRitem, patient=oncPat1 ; {read} ; topics]{oncology})
rule(author=carDoc2 ; type=HRitem, patient=carPat1 ; {read} ; topics]{cardiology})
rule(position=doctor, specialties]{oncology}, teams]{oncTeam2} ; type=HR ; {addItem} ; patient=oncPat2)
rule(position=doctor, specialties]{oncology}, teams]{oncTeam1}; type=HR ; {addItem} ; patient=oncPat1)
rule(ward=carWard ; type=HR, patient=carPat2 ; {addItem} ; position=nurse)
rule(ward=oncWard ; type=HR, patient=oncPat2 ; {addItem} ; position=nurse)
rule(author=carNurse1 ; type=HRitem ; {read} ; rid=carPat1nursingItem)
rule(author=oncNurse2 ; type=HRitem ; {read} ; rid=oncPat1nursingItem)
rule(author=doc1 ; type=HRitem ; {read} ; rid=oncPat2oncItem)
rule(position=doctor, specialties]{anesthesiology}, teams]{oncTeam1 carTeam1} ; type=HR; {addItem} ; patient=carPat1, treatingTeam=carTeam1)
rule(position=doctor, specialties]{anesthesiology}, teams]{oncTeam1 carTeam1} ; type=HR; {addItem} ; patient=oncPat1, treatingTeam=oncTeam1)
rule(type=HRitem ; {read} ; author=oncDoc1, rid=oncPat1oncItem)
rule(author=carDoc2; type=HRitem; {read} ; rid=carPat2carItem)
rule(author=doc2; type=HRitem; {read} ; rid=carPat2carItem)
rule(ward=carWard ; type=HR, patient=carPat2 ; {addItem} ; position=nurse)
rule(ward=oncWard ; type=HR, patient=oncPat2 ; {addItem} ; position=nurse)
rule(position=doctor, specialties]{oncology}, teams]{oncTeam2}; type=HR ; {addItem} ; patient=oncPat2)
rule(author=anesDoc1; type=HR ; {addItem} ; patient=carPat1, treatingTeam=carTeam1)
rule(author=anesDoc1; type=HR ; {addItem} ; patient=oncPat1, treatingTeam=oncTeam1)
rule(author=oncDoc1 ; type=HRitem, patient=oncPat1 ; {read} ; topics]{oncology})
rule(author=carDoc2 ; type=HRitem, patient=carPat1 ; {read} ; topics]{cardiology})
rule(position=nurse ; type=HRitem, topics]{nursing} ; {read}; patient=carPat1, ward=carWard)
rule(position=nurse ; type=HRitem, topics]{nursing} ; {read}; patient=oncPat2, ward=oncWard)
rule(position=doctor, specialties]{oncology}, teams]{oncTeam1}; type=HR ; {addItem} ; patient=oncPat1)
rule(type=HRitem ; {read} ; author=oncDoc1, patient=oncPat1, topics]{oncology})
rule(position=agent, agentFor]{carPat2} ; rid=carPat2noteItem ; {read} ; )
rule(position=agent, agentFor]{oncPat2} ; rid=oncPat2noteItem ; {read} ; )
rule(author=doc2 ; type=HRitem, patient=carPat2 ; {read} ; topics]{cardiology})
rule(position=agent, agentFor]{carPat2} ; type=HR ; {addNote} ; patient=carPat2)
rule(position=agent, agentFor]{oncPat2} ; type=HR ; {addNote} ; patient=oncPat2)
rule(type=HRitem; {read} ; author=carNurse1, patient=carPat1, topics]{nursing})
rule(position=patient, uid=carPat1 ; rid=carPat1noteItem ; {read} ; )
rule(type=HRitem ; {read} ; author=oncNurse2, patient=oncPat1, topics]{nursing})
rule(position=patient, uid=carPat1 ; type=HR ; {addNote} ; patient=carPat1)
rule(position=patient, uid=oncPat1 ; type=HR ; {addNote} ; patient=oncPat1)
rule(position=agent, agentFor]{carPat2} ; type=HRitem ; {read} ; topics]{note}, patient=carPat2)
rule(position=agent, agentFor]{oncPat2} ; type=HRitem ; {read} ; topics]{note}, patient=oncPat2)
rule(position=agent, agentFor]{carPat2} ; type=HR, patient=carPat2 ; {addNote} ; )
rule(position=agent, agentFor]{oncPat2} ; type=HR, patient=oncPat2 ; {addNote} ; )
rule(ward=oncWard ; type=HR, patient=oncPat2 ; {addItem} ; position=nurse)
rule(ward=carWard ; type=HR, patient=carPat1 ; {addItem} ; position=nurse)
rule(type=HRitem ; {read} ; author=oncDoc1, patient=oncPat1, topics]{oncology})
rule(position=nurse ; type=HRitem, topics]{nursing} ; {read}; patient=carPat1, ward=carWard)
rule(position=nurse ; type=HRitem, topics]{nursing} ; {read}; patient=oncPat2, ward=oncWard)
rule(type=HRitem; {read} ; author=carNurse1, patient=carPat1, topics]{nursing})
rule(type=HRitem ; {read} ; author=oncNurse2, patient=oncPat1, topics]{nursing})
rule(author=doc2 ; type=HRitem, patient=carPat2 ; {read} ; topics]{cardiology})
