csFac1, ee101gradebook, addScore
csStu3, ee601gradebook, readScore
admissions1, ee101gradebook, write
csStu1, ee101gradebook, readScore
eeStu1, eeStu4trans, read
admissions1, ee101roster, write
csStu1, csStu4trans, read
eeStu1, cs602gradebook, readScore
registrar2, cs601gradebook, write
csFac1, cs602gradebook, readScore
csStu2, ee602gradebook, readMyScores
eeStu1, ee601gradebook, readMyScores
eeFac2, cs101gradebook, readScore
csStu2, eeStu5trans, read
csFac1, ee601roster, read
eeStu4, csStu4trans, read
csFac1, ee101gradebook, assignGrade
eeStu4, csStu1trans, read
eeStu1, csStu3trans, read
csFac2, cs601gradebook, changeScore
csStu5, eeStu5trans, read
eeFac2, cs101roster, read
eeStu2, ee601gradebook, readMyScores
csStu1, eeStu2trans, read
eeFac2, ee601gradebook, readScore
eeStu2, ee602gradebook, readMyScores
csFac2, ee601gradebook, addScore
eeStu5, ee601gradebook, readMyScores
registrar1, cs602roster, read
eeStu2, ee101gradebook, readMyScores
csFac1, ee602gradebook, assignGrade
csFac1, ee101gradebook, readScore
csFac2, cs601gradebook, readScore
csStu1, ee601gradebook, readScore
eeFac1, ee601gradebook, changeScore
eeFac1, ee101roster, read
eeStu4, eeStu4trans, read
csFac2, ee101gradebook, addScore
eeStu2, eeStu3trans, read
eeStu3, ee602gradebook, readScore
csStu1, ee602gradebook, readMyScores
admissions1, ee602gradebook, write
eeStu2, csStu1trans, read
eeStu2, csStu2trans, read
eeStu1, csStu5trans, read
csStu2, cs601gradebook, readMyScores
csStu2, csStu3trans, read
eeStu5, eeStu5trans, read
csFac1, cs601gradebook, addScore
csFac1, cs602gradebook, addScore
csStu2, csStu2trans, read
eeFac2, cs602gradebook, assignGrade
eeFac2, ee602gradebook, assignGrade
csFac2, cs101gradebook, addScore
eeStu3, cs101gradebook, readMyScores
admissions1, cs601gradebook, write
csStu3, cs601gradebook, readMyScores
admissions1, cs602gradebook, write
eeStu4, eeStu2trans, read
csFac1, ee602roster, read
admissions2, ee101roster, read
eeStu3, eeStu2trans, read
eeStu5, csStu2trans, read
eeFac1, ee602gradebook, assignGrade
eeStu3, csStu3trans, read
admissions1, ee601roster, write
admissions2, cs601roster, read
registrar1, cs101roster, read
csFac2, ee602gradebook, addScore
eeStu1, cs601gradebook, readMyScores
csStu1, cs602gradebook, readMyScores
eeStu3, cs602gradebook, readMyScores
eeFac2, ee601gradebook, addScore
admissions2, cs101roster, read
eeStu1, ee101gradebook, readMyScores
admissions1, ee601roster, read
registrar2, cs101roster, read
eeStu3, csStu5trans, read
eeStu4, cs101gradebook, readScore
eeStu3, csStu4trans, read
csFac2, cs602roster, read
registrar1, cs601roster, write
csFac2, cs601gradebook, assignGrade
csStu4, eeStu1trans, read
admissions2, cs602roster, read
csStu2, ee601gradebook, readMyScores
registrar2, cs602gradebook, write
eeStu4, ee101gradebook, readScore
csStu1, cs101gradebook, readMyScores
eeStu4, ee601gradebook, readScore
eeFac1, ee602gradebook, addScore
eeStu4, eeStu1trans, read
csFac2, cs601roster, read
csStu3, ee101gradebook, readMyScores
eeStu4, csStu3trans, read
eeStu3, eeStu4trans, read
registrar1, ee602roster, write
eeStu3, eeStu1trans, read
eeStu4, ee601gradebook, readMyScores
csStu3, ee101gradebook, readScore
csStu2, cs602gradebook, readScore
eeStu1, cs601gradebook, readScore
csFac2, cs602gradebook, addScore
admissions1, cs602roster, read
eeFac2, ee601gradebook, assignGrade
csFac2, ee101gradebook, changeScore
csStu5, cs602gradebook, readMyScores
admissions1, ee602roster, write
eeStu4, eeStu3trans, read
csStu2, eeStu3trans, read
admissions1, cs601roster, read
eeStu2, cs101gradebook, readMyScores
csStu5, cs101gradebook, readScore
eeFac2, ee601roster, read
eeStu5, cs602gradebook, readScore
eeStu5, csStu1trans, read
registrar1, ee101roster, read
admissions2, ee602roster, read
csFac1, ee602gradebook, changeScore
registrar1, cs601roster, read
eeStu4, cs601gradebook, readMyScores
csStu3, eeStu1trans, read
eeStu3, cs101gradebook, readScore
csFac2, ee101gradebook, readScore
eeStu1, ee601gradebook, readScore
registrar1, ee601roster, write
admissions2, cs601gradebook, write
eeFac2, ee101gradebook, changeScore
csFac2, ee602gradebook, changeScore
csStu3, csStu4trans, read
eeStu1, eeStu3trans, read
eeStu1, ee602gradebook, readMyScores
csStu4, csStu4trans, read
eeStu3, eeStu5trans, read
eeFac2, ee602gradebook, addScore
csStu4, ee101gradebook, readScore
registrar1, cs602roster, write
eeFac1, ee101gradebook, changeScore
eeStu4, ee101gradebook, readMyScores
eeFac1, ee101gradebook, assignGrade
eeStu2, cs602gradebook, readScore
eeStu1, cs101gradebook, readMyScores
eeStu5, ee601gradebook, readScore
eeFac2, cs602gradebook, addScore
csStu1, csStu5trans, read
eeStu3, ee601gradebook, readMyScores
csFac1, cs601gradebook, changeScore
eeStu3, cs601gradebook, readScore
csStu1, eeStu1trans, read
csStu4, cs602gradebook, readScore
admissions2, cs101gradebook, write
eeFac2, cs101gradebook, assignGrade
registrar2, ee101roster, write
csStu5, ee602gradebook, readMyScores
csStu4, csStu2trans, read
eeStu3, ee101gradebook, readMyScores
eeStu2, eeStu2trans, read
csStu5, ee601gradebook, readMyScores
eeFac2, cs602gradebook, readScore
eeFac1, cs602gradebook, assignGrade
eeFac1, ee601gradebook, assignGrade
csStu1, eeStu3trans, read
csFac1, ee602gradebook, readScore
registrar2, cs101roster, write
registrar1, ee602roster, read
eeStu2, eeStu5trans, read
eeStu4, cs601gradebook, readScore
csStu3, cs602gradebook, readScore
registrar1, ee601gradebook, write
csFac1, ee101roster, read
csFac1, cs101roster, read
eeStu3, eeStu3trans, read
eeStu5, ee101gradebook, readScore
csStu5, cs101gradebook, readMyScores
eeFac1, ee601roster, read
csStu1, cs601gradebook, readScore
registrar2, ee101gradebook, write
csStu2, eeStu4trans, read
eeStu2, ee601gradebook, readScore
registrar2, cs602roster, read
csStu5, csStu3trans, read
csStu5, csStu5trans, read
csFac2, cs101gradebook, assignGrade
eeFac2, cs601gradebook, readScore
eeFac2, ee602gradebook, readScore
eeStu3, cs602gradebook, readScore
csStu3, eeStu5trans, read
csStu3, eeStu4trans, read
csStu4, cs601gradebook, readMyScores
csFac2, cs602gradebook, readScore
registrar2, cs101gradebook, write
csStu3, ee602gradebook, readMyScores
csStu2, ee101gradebook, readMyScores
eeFac2, cs602roster, read
csFac2, cs602gradebook, assignGrade
eeStu3, csStu2trans, read
eeStu2, eeStu4trans, read
csStu1, csStu2trans, read
csFac1, ee101gradebook, changeScore
eeFac1, cs601roster, read
eeStu5, ee602gradebook, readScore
eeStu5, ee602gradebook, readMyScores
csFac2, ee601gradebook, changeScore
csFac2, cs601gradebook, addScore
csStu1, cs601gradebook, readMyScores
admissions2, ee601roster, read
csFac1, cs101gradebook, readScore
csStu5, csStu1trans, read
registrar1, ee101gradebook, write
eeStu5, csStu3trans, read
eeStu1, eeStu1trans, read
eeFac1, cs602gradebook, addScore
admissions2, cs601roster, write
csStu4, csStu1trans, read
eeFac2, ee101roster, read
registrar2, ee601roster, read
csStu5, ee601gradebook, readScore
csStu5, ee602gradebook, readScore
csStu1, cs101gradebook, readScore
eeStu4, csStu2trans, read
csStu3, eeStu3trans, read
eeStu1, cs602gradebook, readMyScores
csStu1, eeStu5trans, read
eeFac2, ee602gradebook, changeScore
admissions2, cs101roster, write
csFac1, cs101gradebook, changeScore
eeStu4, cs602gradebook, readScore
registrar2, ee602roster, read
csFac1, ee601gradebook, addScore
eeStu5, csStu5trans, read
csStu5, ee101gradebook, readMyScores
eeStu3, ee602gradebook, readMyScores
csStu3, csStu2trans, read
eeFac1, cs101gradebook, readScore
csStu2, csStu1trans, read
csStu2, ee601gradebook, readScore
registrar2, ee101roster, read
eeStu2, csStu3trans, read
eeFac1, ee601gradebook, addScore
admissions1, cs101roster, write
admissions1, cs601roster, write
csStu4, eeStu3trans, read
eeStu5, cs101gradebook, readMyScores
csStu3, csStu3trans, read
csFac2, ee602gradebook, assignGrade
registrar1, cs101roster, write
csStu5, csStu4trans, read
eeFac2, cs101gradebook, addScore
csFac1, ee601gradebook, changeScore
admissions2, ee101roster, write
eeStu4, cs602gradebook, readMyScores
admissions1, ee101roster, read
csStu3, ee601gradebook, readMyScores
eeStu2, cs601gradebook, readMyScores
csFac1, ee602gradebook, addScore
registrar2, ee602roster, write
admissions2, ee602gradebook, write
eeStu3, cs601gradebook, readMyScores
csStu4, csStu3trans, read
csStu3, cs101gradebook, readScore
csStu1, ee602gradebook, readScore
eeStu3, ee601gradebook, readScore
csStu4, cs602gradebook, readMyScores
admissions1, cs101gradebook, write
csStu5, cs601gradebook, readMyScores
eeFac2, cs101gradebook, changeScore
csFac2, ee601roster, read
eeFac1, cs601gradebook, changeScore
eeStu1, eeStu5trans, read
eeStu2, eeStu1trans, read
csStu2, cs601gradebook, readScore
eeStu2, csStu4trans, read
eeFac1, cs601gradebook, addScore
csStu4, csStu5trans, read
eeStu2, cs101gradebook, readScore
csStu4, ee601gradebook, readScore
eeStu1, csStu4trans, read
csStu2, ee101gradebook, readScore
eeStu5, cs602gradebook, readMyScores
eeFac2, cs601gradebook, changeScore
eeStu2, cs601gradebook, readScore
csFac1, ee601gradebook, assignGrade
admissions2, ee602roster, write
csStu2, ee602gradebook, readScore
csStu1, ee601gradebook, readMyScores
csStu5, eeStu1trans, read
eeStu5, eeStu1trans, read
eeFac2, cs602gradebook, changeScore
csStu5, cs601gradebook, readScore
eeFac2, ee101gradebook, addScore
csStu4, ee601gradebook, readMyScores
csFac2, cs602gradebook, changeScore
eeStu4, csStu5trans, read
csStu3, ee602gradebook, readScore
