Commong lines / Lines that are correct: 44
applicant1, application1, checkStatus
applicant2, eeStu1application, checkStatus
applicant2, eeStu2application, checkStatus
applicant2, eeStu3application, checkStatus
applicant2, eeStu4application, checkStatus
applicant2, eeStu5application, checkStatus
csFac1, cs601roster, read
csFac1, cs602roster, read
csFac1, ee101roster, read
csFac1, ee601roster, read
csFac1, ee602roster, read
csFac2, cs101roster, read
csFac2, cs602roster, read
csFac2, ee101roster, read
csFac2, ee601roster, read
csFac2, ee602roster, read
csStu1, application1, checkStatus
csStu1, application2, checkStatus
csStu1, cs101gradebook, addScore
csStu1, cs101gradebook, readScore,
csStu1, cs601gradebook, addScore
csStu1, cs601gradebook, readMyScores
csStu1, cs601gradebook, readScore,
csStu1, cs602gradebook, addScore
csStu1, cs602gradebook, readMyScores
csStu1, cs602gradebook, readScore,
csStu1, csStu2application, checkStatus
csStu1, csStu2trans, read
csStu1, csStu3application, checkStatus
csStu1, csStu3trans, read
csStu1, csStu4application, checkStatus
csStu1, csStu4trans, read
csStu1, csStu5application, checkStatus
csStu1, csStu5trans, read
csStu1, ee101gradebook, addScore
csStu1, ee101gradebook, readMyScores
csStu1, ee101gradebook, readScore,
csStu1, ee601gradebook, addScore
csStu1, ee601gradebook, readMyScores
csStu1, ee601gradebook, readScore,
csStu1, ee602gradebook, addScore
csStu1, ee602gradebook, readMyScores
csStu1, ee602gradebook, readScore,
csStu1, eeStu1application, checkStatus
csStu1, eeStu1trans, read
csStu1, eeStu2application, checkStatus
csStu1, eeStu2trans, read
csStu1, eeStu3application, checkStatus
csStu1, eeStu3trans, read
csStu1, eeStu4application, checkStatus
csStu1, eeStu4trans, read
csStu1, eeStu5application, checkStatus
csStu1, eeStu5trans, read
csStu2, application1, checkStatus
csStu2, application2, checkStatus
csStu2, cs101gradebook, readMyScores
csStu2, cs101gradebook, readScore,
csStu2, cs601gradebook, addScore
csStu2, cs601gradebook, readScore,
csStu2, cs602gradebook, readMyScores
csStu2, cs602gradebook, readScore,
csStu2, csStu1application, checkStatus
csStu2, csStu1trans, read
csStu2, csStu3application, checkStatus
csStu2, csStu3trans, read
csStu2, csStu4application, checkStatus
csStu2, csStu4trans, read
csStu2, csStu5application, checkStatus
csStu2, csStu5trans, read
csStu2, ee101gradebook, addScore
csStu2, ee101gradebook, readMyScores
csStu2, ee101gradebook, readScore,
csStu2, ee601gradebook, addScore
csStu2, ee601gradebook, readMyScores
csStu2, ee601gradebook, readScore,
csStu2, ee602gradebook, addScore
csStu2, ee602gradebook, readMyScores
csStu2, ee602gradebook, readScore,
csStu2, eeStu1application, checkStatus
csStu2, eeStu1trans, read
csStu2, eeStu2application, checkStatus
csStu2, eeStu2trans, read
csStu2, eeStu3application, checkStatus
csStu2, eeStu3trans, read
csStu2, eeStu4application, checkStatus
csStu2, eeStu4trans, read
csStu2, eeStu5application, checkStatus
csStu2, eeStu5trans, read
csStu3, application1, checkStatus
csStu3, application2, checkStatus
csStu3, cs101gradebook, addScore
csStu3, cs101gradebook, readMyScores
csStu3, cs101gradebook, readScore,
csStu3, cs601gradebook, readMyScores
csStu3, cs601gradebook, readScore,
csStu3, cs602gradebook, addScore
csStu3, cs602gradebook, readScore,
csStu3, csStu1application, checkStatus
csStu3, csStu1trans, read
csStu3, csStu2application, checkStatus
csStu3, csStu2trans, read
csStu3, csStu4application, checkStatus
csStu3, csStu4trans, read
csStu3, csStu5application, checkStatus
csStu3, csStu5trans, read
csStu3, ee101gradebook, addScore
csStu3, ee101gradebook, readMyScores
csStu3, ee101gradebook, readScore,
csStu3, ee601gradebook, addScore
csStu3, ee601gradebook, readMyScores
csStu3, ee601gradebook, readScore,
csStu3, ee602gradebook, addScore
csStu3, ee602gradebook, readMyScores
csStu3, ee602gradebook, readScore,
csStu3, eeStu1application, checkStatus
csStu3, eeStu1trans, read
csStu3, eeStu2application, checkStatus
csStu3, eeStu2trans, read
csStu3, eeStu3application, checkStatus
csStu3, eeStu3trans, read
csStu3, eeStu4application, checkStatus
csStu3, eeStu4trans, read
csStu3, eeStu5application, checkStatus
csStu3, eeStu5trans, read
csStu4, application1, checkStatus
csStu4, application2, checkStatus
csStu4, cs101gradebook, addScore
csStu4, cs101gradebook, readMyScores
csStu4, cs101gradebook, readScore,
csStu4, cs601gradebook, addScore
csStu4, cs601gradebook, readScore,
csStu4, cs602gradebook, addScore
csStu4, cs602gradebook, readMyScores
csStu4, cs602gradebook, readScore,
csStu4, csStu1application, checkStatus
csStu4, csStu1trans, read
csStu4, csStu2application, checkStatus
csStu4, csStu2trans, read
csStu4, csStu3application, checkStatus
csStu4, csStu3trans, read
csStu4, csStu5application, checkStatus
csStu4, csStu5trans, read
csStu4, ee101gradebook, addScore
csStu4, ee101gradebook, readMyScores
csStu4, ee101gradebook, readScore,
csStu4, ee601gradebook, addScore
csStu4, ee601gradebook, readMyScores
csStu4, ee601gradebook, readScore,
csStu4, ee602gradebook, addScore
csStu4, ee602gradebook, readMyScores
csStu4, ee602gradebook, readScore,
csStu4, eeStu1application, checkStatus
csStu4, eeStu1trans, read
csStu4, eeStu2application, checkStatus
csStu4, eeStu2trans, read
csStu4, eeStu3application, checkStatus
csStu4, eeStu3trans, read
csStu4, eeStu4application, checkStatus
csStu4, eeStu4trans, read
csStu4, eeStu5application, checkStatus
csStu4, eeStu5trans, read
csStu5, application1, checkStatus
csStu5, application2, checkStatus
csStu5, cs101gradebook, addScore
csStu5, cs101gradebook, readMyScores
csStu5, cs101gradebook, readScore,
csStu5, cs601gradebook, addScore
csStu5, cs601gradebook, readScore,
csStu5, cs602gradebook, addScore
csStu5, cs602gradebook, readScore,
csStu5, csStu1application, checkStatus
csStu5, csStu1trans, read
csStu5, csStu2application, checkStatus
csStu5, csStu2trans, read
csStu5, csStu3application, checkStatus
csStu5, csStu3trans, read
csStu5, csStu4application, checkStatus
csStu5, csStu4trans, read
csStu5, ee101gradebook, addScore
csStu5, ee101gradebook, readMyScores
csStu5, ee101gradebook, readScore,
csStu5, ee601gradebook, addScore
csStu5, ee601gradebook, readMyScores
csStu5, ee601gradebook, readScore,
csStu5, ee602gradebook, addScore
csStu5, ee602gradebook, readMyScores
csStu5, ee602gradebook, readScore,
csStu5, eeStu1application, checkStatus
csStu5, eeStu1trans, read
csStu5, eeStu2application, checkStatus
csStu5, eeStu2trans, read
csStu5, eeStu3application, checkStatus
csStu5, eeStu3trans, read
csStu5, eeStu4application, checkStatus
csStu5, eeStu4trans, read
csStu5, eeStu5application, checkStatus
csStu5, eeStu5trans, read
eeFac1, cs101roster, read
eeFac1, cs601roster, read
eeFac1, cs602roster, read
eeFac1, ee601roster, read
eeFac1, ee602roster, read
eeFac2, cs101roster, read
eeFac2, cs601roster, read
eeFac2, cs602roster, read
eeFac2, ee101roster, read
eeFac2, ee602roster, read
eeStu1, application1, checkStatus
eeStu1, application2, checkStatus
eeStu1, cs101gradebook, addScore
eeStu1, cs101gradebook, readMyScores
eeStu1, cs101gradebook, readScore,
eeStu1, cs601gradebook, addScore
eeStu1, cs601gradebook, readMyScores
eeStu1, cs601gradebook, readScore,
eeStu1, cs602gradebook, addScore
eeStu1, cs602gradebook, readMyScores
eeStu1, cs602gradebook, readScore,
eeStu1, csStu1application, checkStatus
eeStu1, csStu1trans, read
eeStu1, csStu2application, checkStatus
eeStu1, csStu2trans, read
eeStu1, csStu3application, checkStatus
eeStu1, csStu3trans, read
eeStu1, csStu4application, checkStatus
eeStu1, csStu4trans, read
eeStu1, csStu5application, checkStatus
eeStu1, csStu5trans, read
eeStu1, ee101gradebook, addScore
eeStu1, ee101gradebook, readScore,
eeStu1, ee601gradebook, addScore
eeStu1, ee601gradebook, readMyScores
eeStu1, ee601gradebook, readScore,
eeStu1, ee602gradebook, addScore
eeStu1, ee602gradebook, readMyScores
eeStu1, ee602gradebook, readScore,
eeStu1, eeStu2application, checkStatus
eeStu1, eeStu2trans, read
eeStu1, eeStu3application, checkStatus
eeStu1, eeStu3trans, read
eeStu1, eeStu4application, checkStatus
eeStu1, eeStu4trans, read
eeStu1, eeStu5application, checkStatus
eeStu1, eeStu5trans, read
eeStu2, application1, checkStatus
eeStu2, application2, checkStatus
eeStu2, cs101gradebook, addScore
eeStu2, cs101gradebook, readMyScores
eeStu2, cs101gradebook, readScore,
eeStu2, cs601gradebook, addScore
eeStu2, cs601gradebook, readMyScores
eeStu2, cs601gradebook, readScore,
eeStu2, cs602gradebook, addScore
eeStu2, cs602gradebook, readMyScores
eeStu2, cs602gradebook, readScore,
eeStu2, csStu1application, checkStatus
eeStu2, csStu1trans, read
eeStu2, csStu2application, checkStatus
eeStu2, csStu2trans, read
eeStu2, csStu3application, checkStatus
eeStu2, csStu3trans, read
eeStu2, csStu4application, checkStatus
eeStu2, csStu4trans, read
eeStu2, csStu5application, checkStatus
eeStu2, csStu5trans, read
eeStu2, ee101gradebook, readMyScores
eeStu2, ee101gradebook, readScore,
eeStu2, ee601gradebook, addScore
eeStu2, ee601gradebook, readScore,
eeStu2, ee602gradebook, readMyScores
eeStu2, ee602gradebook, readScore,
eeStu2, eeStu1application, checkStatus
eeStu2, eeStu1trans, read
eeStu2, eeStu3application, checkStatus
eeStu2, eeStu3trans, read
eeStu2, eeStu4application, checkStatus
eeStu2, eeStu4trans, read
eeStu2, eeStu5application, checkStatus
eeStu2, eeStu5trans, read
eeStu3, application1, checkStatus
eeStu3, application2, checkStatus
eeStu3, cs101gradebook, addScore
eeStu3, cs101gradebook, readMyScores
eeStu3, cs101gradebook, readScore,
eeStu3, cs601gradebook, addScore
eeStu3, cs601gradebook, readMyScores
eeStu3, cs601gradebook, readScore,
eeStu3, cs602gradebook, addScore
eeStu3, cs602gradebook, readMyScores
eeStu3, cs602gradebook, readScore,
eeStu3, csStu1application, checkStatus
eeStu3, csStu1trans, read
eeStu3, csStu2application, checkStatus
eeStu3, csStu2trans, read
eeStu3, csStu3application, checkStatus
eeStu3, csStu3trans, read
eeStu3, csStu4application, checkStatus
eeStu3, csStu4trans, read
eeStu3, csStu5application, checkStatus
eeStu3, csStu5trans, read
eeStu3, ee101gradebook, addScore
eeStu3, ee101gradebook, readMyScores
eeStu3, ee101gradebook, readScore,
eeStu3, ee601gradebook, readMyScores
eeStu3, ee601gradebook, readScore,
eeStu3, ee602gradebook, addScore
eeStu3, ee602gradebook, readScore,
eeStu3, eeStu1application, checkStatus
eeStu3, eeStu1trans, read
eeStu3, eeStu2application, checkStatus
eeStu3, eeStu2trans, read
eeStu3, eeStu4application, checkStatus
eeStu3, eeStu4trans, read
eeStu3, eeStu5application, checkStatus
eeStu3, eeStu5trans, read
eeStu4, application1, checkStatus
eeStu4, application2, checkStatus
eeStu4, cs101gradebook, addScore
eeStu4, cs101gradebook, readMyScores
eeStu4, cs101gradebook, readScore,
eeStu4, cs601gradebook, addScore
eeStu4, cs601gradebook, readMyScores
eeStu4, cs601gradebook, readScore,
eeStu4, cs602gradebook, addScore
eeStu4, cs602gradebook, readMyScores
eeStu4, cs602gradebook, readScore,
eeStu4, csStu1application, checkStatus
eeStu4, csStu1trans, read
eeStu4, csStu2application, checkStatus
eeStu4, csStu2trans, read
eeStu4, csStu3application, checkStatus
eeStu4, csStu3trans, read
eeStu4, csStu4application, checkStatus
eeStu4, csStu4trans, read
eeStu4, csStu5application, checkStatus
eeStu4, csStu5trans, read
eeStu4, ee101gradebook, addScore
eeStu4, ee101gradebook, readMyScores
eeStu4, ee101gradebook, readScore,
eeStu4, ee601gradebook, addScore
eeStu4, ee601gradebook, readScore,
eeStu4, ee602gradebook, addScore
eeStu4, ee602gradebook, readMyScores
eeStu4, ee602gradebook, readScore,
eeStu4, eeStu1application, checkStatus
eeStu4, eeStu1trans, read
eeStu4, eeStu2application, checkStatus
eeStu4, eeStu2trans, read
eeStu4, eeStu3application, checkStatus
eeStu4, eeStu3trans, read
eeStu4, eeStu5application, checkStatus
eeStu4, eeStu5trans, read
eeStu5, application1, checkStatus
eeStu5, application2, checkStatus
eeStu5, cs101gradebook, addScore
eeStu5, cs101gradebook, readMyScores
eeStu5, cs101gradebook, readScore,
eeStu5, cs601gradebook, addScore
eeStu5, cs601gradebook, readMyScores
eeStu5, cs601gradebook, readScore,
eeStu5, cs602gradebook, addScore
eeStu5, cs602gradebook, readMyScores
eeStu5, cs602gradebook, readScore,
eeStu5, csStu1application, checkStatus
eeStu5, csStu1trans, read
eeStu5, csStu2application, checkStatus
eeStu5, csStu2trans, read
eeStu5, csStu3application, checkStatus
eeStu5, csStu3trans, read
eeStu5, csStu4application, checkStatus
eeStu5, csStu4trans, read
eeStu5, csStu5application, checkStatus
eeStu5, csStu5trans, read
eeStu5, ee101gradebook, addScore
eeStu5, ee101gradebook, readMyScores
eeStu5, ee101gradebook, readScore,
eeStu5, ee601gradebook, addScore
eeStu5, ee601gradebook, readScore,
eeStu5, ee602gradebook, addScore
eeStu5, ee602gradebook, readScore,
eeStu5, eeStu1application, checkStatus
eeStu5, eeStu1trans, read
eeStu5, eeStu2application, checkStatus
eeStu5, eeStu2trans, read
eeStu5, eeStu3application, checkStatus
eeStu5, eeStu3trans, read
eeStu5, eeStu4application, checkStatus
eeStu5, eeStu4trans, read

Total different lines: 528
