Commong lines / Lines that are correct: 88
admissions1, application1, read
csStu5, cs101gradebook, readMyScores,
csStu5, cs101gradebook, readScore
csStu5, cs101roster, addScore
csStu5, cs101roster, read
csStu5, cs101roster, readMyScores,
csStu5, cs601gradebook, addScore
csStu5, cs601gradebook, read
csStu5, cs601gradebook, readMyScores,
csStu5, cs601gradebook, readScore
csStu5, cs601roster, addScore
csStu5, cs601roster, read
csStu5, cs601roster, readMyScores,
csStu5, cs602gradebook, addScore
csStu5, cs602gradebook, read
csStu5, cs602gradebook, readMyScores,
csStu5, cs602gradebook, readScore
csStu5, cs602roster, addScore
csStu5, cs602roster, read
csStu5, cs602roster, readMyScores,
csStu5, csStu1application, addScore
csStu5, csStu1application, read
csStu5, csStu1application, readMyScores,
csStu5, csStu1trans, addScore
csStu5, csStu1trans, read
csStu5, csStu1trans, readMyScores,
csStu5, csStu2application, addScore
csStu5, csStu2application, read
csStu5, csStu2application, readMyScores,
csStu5, csStu2trans, addScore
csStu5, csStu2trans, read
csStu5, csStu2trans, readMyScores,
csStu5, csStu3application, addScore
csStu5, csStu3application, read
csStu5, csStu3application, readMyScores,
csStu5, csStu3trans, addScore
csStu5, csStu3trans, read
csStu5, csStu3trans, readMyScores,
csStu5, csStu4application, addScore
csStu5, csStu4application, read
csStu5, csStu4application, readMyScores,
csStu5, csStu4trans, addScore
csStu5, csStu4trans, read
csStu5, csStu4trans, readMyScores,
csStu5, csStu5application, addScore
csStu5, csStu5application, read
csStu5, csStu5application, readMyScores,
csStu5, csStu5trans, addScore
csStu5, csStu5trans, readMyScores,
csStu5, ee101gradebook, addScore
csStu5, ee101gradebook, read
csStu5, ee101gradebook, readMyScores,
csStu5, ee101gradebook, readScore
csStu5, ee101roster, addScore
csStu5, ee101roster, read
csStu5, ee101roster, readMyScores,
csStu5, ee601gradebook, addScore
csStu5, ee601gradebook, read
csStu5, ee601gradebook, readMyScores,
csStu5, ee601gradebook, readScore
csStu5, ee601roster, addScore
csStu5, ee601roster, read
csStu5, ee601roster, readMyScores,
csStu5, ee602gradebook, addScore
csStu5, ee602gradebook, read
csStu5, ee602gradebook, readMyScores,
csStu5, ee602gradebook, readScore
csStu5, ee602roster, addScore
csStu5, ee602roster, read
csStu5, ee602roster, readMyScores,
csStu5, eeStu1application, addScore
csStu5, eeStu1application, read
csStu5, eeStu1application, readMyScores,
csStu5, eeStu1trans, addScore
csStu5, eeStu1trans, read
csStu5, eeStu1trans, readMyScores,
csStu5, eeStu2application, addScore
csStu5, eeStu2application, read
csStu5, eeStu2application, readMyScores,
csStu5, eeStu2trans, addScore
csStu5, eeStu2trans, read
csStu5, eeStu2trans, readMyScores,
csStu5, eeStu3application, addScore
csStu5, eeStu3application, read
csStu5, eeStu3application, readMyScores,
csStu5, eeStu3trans, addScore
csStu5, eeStu3trans, read
csStu5, eeStu3trans, readMyScores,
csStu5, eeStu4application, addScore
csStu5, eeStu4application, read
csStu5, eeStu4application, readMyScores,
csStu5, eeStu4trans, addScore
csStu5, eeStu4trans, read
csStu5, eeStu4trans, readMyScores,
csStu5, eeStu5application, addScore
csStu5, eeStu5application, read
csStu5, eeStu5application, readMyScores,
csStu5, eeStu5trans, addScore
csStu5, eeStu5trans, read
csStu5, eeStu5trans, readMyScores,
eeFac1, cs101gradebook, addScore,
eeFac1, cs101gradebook, assignGrade,
eeFac1, cs101gradebook, changeScore
eeFac1, cs101gradebook, changeScore,
eeFac1, cs101gradebook, read
eeFac1, cs101gradebook, readScore,
eeFac1, cs101roster, read
eeFac1, cs601gradebook, addScore,
eeFac1, cs601gradebook, assignGrade,
eeFac1, cs601gradebook, changeScore
eeFac1, cs601gradebook, changeScore,
eeFac1, cs601gradebook, read
eeFac1, cs601gradebook, readScore,
eeFac1, cs601roster, read
eeFac1, cs602gradebook, addScore,
eeFac1, cs602gradebook, assignGrade,
eeFac1, cs602gradebook, changeScore
eeFac1, cs602gradebook, changeScore,
eeFac1, cs602gradebook, read
eeFac1, cs602gradebook, readScore,
eeFac1, cs602roster, read
eeFac1, ee101gradebook, addScore,
eeFac1, ee101gradebook, assignGrade,
eeFac1, ee101gradebook, changeScore,
eeFac1, ee101gradebook, read
eeFac1, ee101gradebook, readScore,
eeFac1, ee601gradebook, addScore,
eeFac1, ee601gradebook, assignGrade,
eeFac1, ee601gradebook, changeScore
eeFac1, ee601gradebook, changeScore,
eeFac1, ee601gradebook, read
eeFac1, ee601gradebook, readScore,
eeFac1, ee601roster, read
eeFac1, ee602gradebook, addScore,
eeFac1, ee602gradebook, assignGrade,
eeFac1, ee602gradebook, changeScore
eeFac1, ee602gradebook, changeScore,
eeFac1, ee602gradebook, read
eeFac1, ee602gradebook, readScore,
eeFac1, ee602roster, read
eeFac2, cs101gradebook, addScore,
eeFac2, cs101gradebook, assignGrade,
eeFac2, cs101gradebook, changeScore
eeFac2, cs101gradebook, changeScore,
eeFac2, cs101gradebook, read
eeFac2, cs101gradebook, readScore,
eeFac2, cs101roster, read
eeFac2, cs601gradebook, addScore,
eeFac2, cs601gradebook, assignGrade,
eeFac2, cs601gradebook, changeScore
eeFac2, cs601gradebook, changeScore,
eeFac2, cs601gradebook, read
eeFac2, cs601gradebook, readScore,
eeFac2, cs601roster, read
eeFac2, cs602gradebook, addScore,
eeFac2, cs602gradebook, assignGrade,
eeFac2, cs602gradebook, changeScore
eeFac2, cs602gradebook, changeScore,
eeFac2, cs602gradebook, read
eeFac2, cs602gradebook, readScore,
eeFac2, cs602roster, read
eeFac2, ee101gradebook, addScore,
eeFac2, ee101gradebook, assignGrade,
eeFac2, ee101gradebook, changeScore
eeFac2, ee101gradebook, changeScore,
eeFac2, ee101gradebook, read
eeFac2, ee101gradebook, readScore,
eeFac2, ee101roster, read
eeFac2, ee601gradebook, addScore,
eeFac2, ee601gradebook, assignGrade,
eeFac2, ee601gradebook, changeScore,
eeFac2, ee601gradebook, read
eeFac2, ee601gradebook, readScore,
eeFac2, ee602gradebook, addScore,
eeFac2, ee602gradebook, assignGrade,
eeFac2, ee602gradebook, changeScore
eeFac2, ee602gradebook, changeScore,
eeFac2, ee602gradebook, read
eeFac2, ee602gradebook, readScore,
eeFac2, ee602roster, read
eeStu1, application1, addScore
eeStu1, application1, read
eeStu1, application1, readMyScores,
eeStu1, application2, addScore
eeStu1, application2, read
eeStu1, application2, readMyScores,
eeStu1, cs101gradebook, addScore
eeStu1, cs101gradebook, read
eeStu1, cs101gradebook, readMyScores,
eeStu1, cs101gradebook, readScore
eeStu1, cs101roster, addScore
eeStu1, cs101roster, read
eeStu1, cs101roster, readMyScores,
eeStu1, cs601gradebook, addScore
eeStu1, cs601gradebook, read
eeStu1, cs601gradebook, readMyScores,
eeStu1, cs601gradebook, readScore
eeStu1, cs601roster, addScore
eeStu1, cs601roster, read
eeStu1, cs601roster, readMyScores,
eeStu1, cs602gradebook, addScore
eeStu1, cs602gradebook, read
eeStu1, cs602gradebook, readMyScores,
eeStu1, cs602gradebook, readScore
eeStu1, cs602roster, addScore
eeStu1, cs602roster, read
eeStu1, cs602roster, readMyScores,
eeStu1, csStu1application, addScore
eeStu1, csStu1application, read
eeStu1, csStu1application, readMyScores,
eeStu1, csStu1trans, addScore
eeStu1, csStu1trans, read
eeStu1, csStu1trans, readMyScores,
eeStu1, csStu2application, addScore
eeStu1, csStu2application, read
eeStu1, csStu2application, readMyScores,
eeStu1, csStu2trans, addScore
eeStu1, csStu2trans, read
eeStu1, csStu2trans, readMyScores,
eeStu1, csStu3application, addScore
eeStu1, csStu3application, read
eeStu1, csStu3application, readMyScores,
eeStu1, csStu3trans, addScore
eeStu1, csStu3trans, read
eeStu1, csStu3trans, readMyScores,
eeStu1, csStu4application, addScore
eeStu1, csStu4application, read
eeStu1, csStu4application, readMyScores,
eeStu1, csStu4trans, addScore
eeStu1, csStu4trans, read
eeStu1, csStu4trans, readMyScores,
eeStu1, csStu5application, addScore
eeStu1, csStu5application, read
eeStu1, csStu5application, readMyScores,
eeStu1, csStu5trans, addScore
eeStu1, csStu5trans, read
eeStu1, csStu5trans, readMyScores,
eeStu1, ee101gradebook, addScore
eeStu1, ee101gradebook, read
eeStu1, ee101gradebook, readMyScores,
eeStu1, ee101gradebook, readScore
eeStu1, ee101roster, addScore
eeStu1, ee101roster, read
eeStu1, ee101roster, readMyScores,
eeStu1, ee601gradebook, addScore
eeStu1, ee601gradebook, read
eeStu1, ee601gradebook, readMyScores,
eeStu1, ee601gradebook, readScore
eeStu1, ee601roster, addScore
eeStu1, ee601roster, read
eeStu1, ee601roster, readMyScores,
eeStu1, ee602gradebook, addScore
eeStu1, ee602gradebook, read
eeStu1, ee602gradebook, readMyScores,
eeStu1, ee602gradebook, readScore
eeStu1, ee602roster, addScore
eeStu1, ee602roster, read
eeStu1, ee602roster, readMyScores,
eeStu1, eeStu1application, addScore
eeStu1, eeStu1application, read
eeStu1, eeStu1application, readMyScores,
eeStu1, eeStu1trans, addScore
eeStu1, eeStu1trans, readMyScores,
eeStu1, eeStu2application, addScore
eeStu1, eeStu2application, read
eeStu1, eeStu2application, readMyScores,
eeStu1, eeStu2trans, addScore
eeStu1, eeStu2trans, read
eeStu1, eeStu2trans, readMyScores,
eeStu1, eeStu3application, addScore
eeStu1, eeStu3application, read
eeStu1, eeStu3application, readMyScores,
eeStu1, eeStu3trans, addScore
eeStu1, eeStu3trans, read
eeStu1, eeStu3trans, readMyScores,
eeStu1, eeStu4application, addScore
eeStu1, eeStu4application, read
eeStu1, eeStu4application, readMyScores,
eeStu1, eeStu4trans, addScore
eeStu1, eeStu4trans, read
eeStu1, eeStu4trans, readMyScores,
eeStu1, eeStu5application, addScore
eeStu1, eeStu5application, read
eeStu1, eeStu5application, readMyScores,
eeStu1, eeStu5trans, addScore
eeStu1, eeStu5trans, read
eeStu1, eeStu5trans, readMyScores,
eeStu2, application1, addScore
eeStu2, application1, read
eeStu2, application1, readMyScores,
eeStu2, application2, addScore
eeStu2, application2, read
eeStu2, application2, readMyScores,
eeStu2, cs101gradebook, addScore
eeStu2, cs101gradebook, read
eeStu2, cs101gradebook, readMyScores,
eeStu2, cs101gradebook, readScore
eeStu2, cs101roster, addScore
eeStu2, cs101roster, read
eeStu2, cs101roster, readMyScores,
eeStu2, cs601gradebook, addScore
eeStu2, cs601gradebook, read
eeStu2, cs601gradebook, readMyScores,
eeStu2, cs601gradebook, readScore
eeStu2, cs601roster, addScore
eeStu2, cs601roster, read
eeStu2, cs601roster, readMyScores,
eeStu2, cs602gradebook, addScore
eeStu2, cs602gradebook, read
eeStu2, cs602gradebook, readMyScores,
eeStu2, cs602gradebook, readScore
eeStu2, cs602roster, addScore
eeStu2, cs602roster, read
eeStu2, cs602roster, readMyScores,
eeStu2, csStu1application, addScore
eeStu2, csStu1application, read
eeStu2, csStu1application, readMyScores,
eeStu2, csStu1trans, addScore
eeStu2, csStu1trans, read
eeStu2, csStu1trans, readMyScores,
eeStu2, csStu2application, addScore
eeStu2, csStu2application, read
eeStu2, csStu2application, readMyScores,
eeStu2, csStu2trans, addScore
eeStu2, csStu2trans, read
eeStu2, csStu2trans, readMyScores,
eeStu2, csStu3application, addScore
eeStu2, csStu3application, read
eeStu2, csStu3application, readMyScores,
eeStu2, csStu3trans, addScore
eeStu2, csStu3trans, read
eeStu2, csStu3trans, readMyScores,
eeStu2, csStu4application, addScore
eeStu2, csStu4application, read
eeStu2, csStu4application, readMyScores,
eeStu2, csStu4trans, addScore
eeStu2, csStu4trans, read
eeStu2, csStu4trans, readMyScores,
eeStu2, csStu5application, addScore
eeStu2, csStu5application, read
eeStu2, csStu5application, readMyScores,
eeStu2, csStu5trans, addScore
eeStu2, csStu5trans, read
eeStu2, csStu5trans, readMyScores,
eeStu2, ee101gradebook, read
eeStu2, ee101gradebook, readMyScores,
eeStu2, ee101roster, addScore
eeStu2, ee101roster, read
eeStu2, ee101roster, readMyScores,
eeStu2, ee601gradebook, addScore
eeStu2, ee601gradebook, read
eeStu2, ee601gradebook, readMyScores,
eeStu2, ee601gradebook, readScore
eeStu2, ee601roster, addScore
eeStu2, ee601roster, read
eeStu2, ee601roster, readMyScores,
eeStu2, ee602gradebook, read
eeStu2, ee602gradebook, readMyScores,
eeStu2, ee602roster, addScore
eeStu2, ee602roster, read
eeStu2, ee602roster, readMyScores,
eeStu2, eeStu1application, addScore
eeStu2, eeStu1application, read
eeStu2, eeStu1application, readMyScores,
eeStu2, eeStu1trans, addScore
eeStu2, eeStu1trans, read
eeStu2, eeStu1trans, readMyScores,
eeStu2, eeStu2application, addScore
eeStu2, eeStu2application, read
eeStu2, eeStu2application, readMyScores,
eeStu2, eeStu2trans, addScore
eeStu2, eeStu2trans, readMyScores,
eeStu2, eeStu3application, addScore
eeStu2, eeStu3application, read
eeStu2, eeStu3application, readMyScores,
eeStu2, eeStu3trans, addScore
eeStu2, eeStu3trans, read
eeStu2, eeStu3trans, readMyScores,
eeStu2, eeStu4application, addScore
eeStu2, eeStu4application, read
eeStu2, eeStu4application, readMyScores,
eeStu2, eeStu4trans, addScore
eeStu2, eeStu4trans, read
eeStu2, eeStu4trans, readMyScores,
eeStu2, eeStu5application, addScore
eeStu2, eeStu5application, read
eeStu2, eeStu5application, readMyScores,
eeStu2, eeStu5trans, addScore
eeStu2, eeStu5trans, read
eeStu2, eeStu5trans, readMyScores,
eeStu3, application1, addScore
eeStu3, application1, read
eeStu3, application1, readMyScores,
eeStu3, application2, addScore
eeStu3, application2, read
eeStu3, application2, readMyScores,
eeStu3, cs101gradebook, addScore
eeStu3, cs101gradebook, read
eeStu3, cs101gradebook, readMyScores,
eeStu3, cs101gradebook, readScore
eeStu3, cs101roster, addScore
eeStu3, cs101roster, read
eeStu3, cs101roster, readMyScores,
eeStu3, cs601gradebook, addScore
eeStu3, cs601gradebook, read
eeStu3, cs601gradebook, readMyScores,
eeStu3, cs601gradebook, readScore
eeStu3, cs601roster, addScore
eeStu3, cs601roster, read
eeStu3, cs601roster, readMyScores,
eeStu3, cs602gradebook, addScore
eeStu3, cs602gradebook, read
eeStu3, cs602gradebook, readMyScores,
eeStu3, cs602gradebook, readScore
eeStu3, cs602roster, addScore
eeStu3, cs602roster, read
eeStu3, cs602roster, readMyScores,
eeStu3, csStu1application, addScore
eeStu3, csStu1application, read
eeStu3, csStu1application, readMyScores,
eeStu3, csStu1trans, addScore
eeStu3, csStu1trans, read
eeStu3, csStu1trans, readMyScores,
eeStu3, csStu2application, addScore
eeStu3, csStu2application, read
eeStu3, csStu2application, readMyScores,
eeStu3, csStu2trans, addScore
eeStu3, csStu2trans, read
eeStu3, csStu2trans, readMyScores,
eeStu3, csStu3application, addScore
eeStu3, csStu3application, read
eeStu3, csStu3application, readMyScores,
eeStu3, csStu3trans, addScore
eeStu3, csStu3trans, read
eeStu3, csStu3trans, readMyScores,
eeStu3, csStu4application, addScore
eeStu3, csStu4application, read
eeStu3, csStu4application, readMyScores,
eeStu3, csStu4trans, addScore
eeStu3, csStu4trans, read
eeStu3, csStu4trans, readMyScores,
eeStu3, csStu5application, addScore
eeStu3, csStu5application, read
eeStu3, csStu5application, readMyScores,
eeStu3, csStu5trans, addScore
eeStu3, csStu5trans, read
eeStu3, csStu5trans, readMyScores,
eeStu3, ee101gradebook, addScore
eeStu3, ee101gradebook, read
eeStu3, ee101gradebook, readMyScores,
eeStu3, ee101gradebook, readScore
eeStu3, ee101roster, addScore
eeStu3, ee101roster, read
eeStu3, ee101roster, readMyScores,
eeStu3, ee601gradebook, read
eeStu3, ee601gradebook, readMyScores,
eeStu3, ee601roster, addScore
eeStu3, ee601roster, read
eeStu3, ee601roster, readMyScores,
eeStu3, ee602gradebook, addScore
eeStu3, ee602gradebook, read
eeStu3, ee602gradebook, readMyScores,
eeStu3, ee602gradebook, readScore
eeStu3, ee602roster, addScore
eeStu3, ee602roster, read
eeStu3, ee602roster, readMyScores,
eeStu3, eeStu1application, addScore
eeStu3, eeStu1application, read
eeStu3, eeStu1application, readMyScores,
eeStu3, eeStu1trans, addScore
eeStu3, eeStu1trans, read
eeStu3, eeStu1trans, readMyScores,
eeStu3, eeStu2application, addScore
eeStu3, eeStu2application, read
eeStu3, eeStu2application, readMyScores,
eeStu3, eeStu2trans, addScore
eeStu3, eeStu2trans, read
eeStu3, eeStu2trans, readMyScores,
eeStu3, eeStu3application, addScore
eeStu3, eeStu3application, read
eeStu3, eeStu3application, readMyScores,
eeStu3, eeStu3trans, addScore
eeStu3, eeStu3trans, readMyScores,
eeStu3, eeStu4application, addScore
eeStu3, eeStu4application, read
eeStu3, eeStu4application, readMyScores,
eeStu3, eeStu4trans, addScore
eeStu3, eeStu4trans, read
eeStu3, eeStu4trans, readMyScores,
eeStu3, eeStu5application, addScore
eeStu3, eeStu5application, read
eeStu3, eeStu5application, readMyScores,
eeStu3, eeStu5trans, addScore
eeStu3, eeStu5trans, read
eeStu3, eeStu5trans, readMyScores,
eeStu4, application1, addScore
eeStu4, application1, read
eeStu4, application1, readMyScores,
eeStu4, application2, addScore
eeStu4, application2, read
eeStu4, application2, readMyScores,
eeStu4, cs101gradebook, addScore
eeStu4, cs101gradebook, read
eeStu4, cs101gradebook, readMyScores,
eeStu4, cs101gradebook, readScore
eeStu4, cs101roster, addScore
eeStu4, cs101roster, read
eeStu4, cs101roster, readMyScores,
eeStu4, cs601gradebook, addScore
eeStu4, cs601gradebook, read
eeStu4, cs601gradebook, readMyScores,
eeStu4, cs601gradebook, readScore
eeStu4, cs601roster, addScore
eeStu4, cs601roster, read
eeStu4, cs601roster, readMyScores,
eeStu4, cs602gradebook, addScore
eeStu4, cs602gradebook, read
eeStu4, cs602gradebook, readMyScores,
eeStu4, cs602gradebook, readScore
eeStu4, cs602roster, addScore
eeStu4, cs602roster, read
eeStu4, cs602roster, readMyScores,
eeStu4, csStu1application, addScore
eeStu4, csStu1application, read
eeStu4, csStu1application, readMyScores,
eeStu4, csStu1trans, addScore
eeStu4, csStu1trans, read
eeStu4, csStu1trans, readMyScores,
eeStu4, csStu2application, addScore
eeStu4, csStu2application, read
eeStu4, csStu2application, readMyScores,
eeStu4, csStu2trans, addScore
eeStu4, csStu2trans, read
eeStu4, csStu2trans, readMyScores,
eeStu4, csStu3application, addScore
eeStu4, csStu3application, read
eeStu4, csStu3application, readMyScores,
eeStu4, csStu3trans, addScore
eeStu4, csStu3trans, read
eeStu4, csStu3trans, readMyScores,
eeStu4, csStu4application, addScore
eeStu4, csStu4application, read
eeStu4, csStu4application, readMyScores,
eeStu4, csStu4trans, addScore
eeStu4, csStu4trans, read
eeStu4, csStu4trans, readMyScores,
eeStu4, csStu5application, addScore
eeStu4, csStu5application, read
eeStu4, csStu5application, readMyScores,
eeStu4, csStu5trans, addScore
eeStu4, csStu5trans, read
eeStu4, csStu5trans, readMyScores,
eeStu4, ee101gradebook, addScore
eeStu4, ee101gradebook, read
eeStu4, ee101gradebook, readMyScores,
eeStu4, ee101gradebook, readScore
eeStu4, ee101roster, addScore
eeStu4, ee101roster, read
eeStu4, ee101roster, readMyScores,
eeStu4, ee601gradebook, addScore
eeStu4, ee601gradebook, read
eeStu4, ee601gradebook, readMyScores,
eeStu4, ee601gradebook, readScore
eeStu4, ee601roster, addScore
eeStu4, ee601roster, read
eeStu4, ee601roster, readMyScores,
eeStu4, ee602gradebook, addScore
eeStu4, ee602gradebook, read
eeStu4, ee602gradebook, readMyScores,
eeStu4, ee602gradebook, readScore
eeStu4, ee602roster, addScore
eeStu4, ee602roster, read
eeStu4, ee602roster, readMyScores,
eeStu4, eeStu1application, addScore
eeStu4, eeStu1application, read
eeStu4, eeStu1application, readMyScores,
eeStu4, eeStu1trans, addScore
eeStu4, eeStu1trans, read
eeStu4, eeStu1trans, readMyScores,
eeStu4, eeStu2application, addScore
eeStu4, eeStu2application, read
eeStu4, eeStu2application, readMyScores,
eeStu4, eeStu2trans, addScore
eeStu4, eeStu2trans, read
eeStu4, eeStu2trans, readMyScores,
eeStu4, eeStu3application, addScore
eeStu4, eeStu3application, read
eeStu4, eeStu3application, readMyScores,
eeStu4, eeStu3trans, addScore
eeStu4, eeStu3trans, read
eeStu4, eeStu3trans, readMyScores,
eeStu4, eeStu4application, addScore
eeStu4, eeStu4application, read
eeStu4, eeStu4application, readMyScores,
eeStu4, eeStu4trans, addScore
eeStu4, eeStu4trans, readMyScores,
eeStu4, eeStu5application, addScore
eeStu4, eeStu5application, read
eeStu4, eeStu5application, readMyScores,
eeStu4, eeStu5trans, addScore
eeStu4, eeStu5trans, read
eeStu4, eeStu5trans, readMyScores,
eeStu5, application1, addScore
eeStu5, application1, read
eeStu5, application1, readMyScores,
eeStu5, application2, addScore
eeStu5, application2, read
eeStu5, application2, readMyScores,
eeStu5, cs101gradebook, addScore
eeStu5, cs101gradebook, read
eeStu5, cs101gradebook, readMyScores,
eeStu5, cs101gradebook, readScore
eeStu5, cs101roster, addScore
eeStu5, cs101roster, read
eeStu5, cs101roster, readMyScores,
eeStu5, cs601gradebook, addScore
eeStu5, cs601gradebook, read
eeStu5, cs601gradebook, readMyScores,
eeStu5, cs601gradebook, readScore
eeStu5, cs601roster, addScore
eeStu5, cs601roster, read
eeStu5, cs601roster, readMyScores,
eeStu5, cs602gradebook, addScore
eeStu5, cs602gradebook, read
eeStu5, cs602gradebook, readMyScores,
eeStu5, cs602gradebook, readScore
eeStu5, cs602roster, addScore
eeStu5, cs602roster, read
eeStu5, cs602roster, readMyScores,
eeStu5, csStu1application, addScore
eeStu5, csStu1application, read
eeStu5, csStu1application, readMyScores,
eeStu5, csStu1trans, addScore
eeStu5, csStu1trans, read
eeStu5, csStu1trans, readMyScores,
eeStu5, csStu2application, addScore
eeStu5, csStu2application, read
eeStu5, csStu2application, readMyScores,
eeStu5, csStu2trans, addScore
eeStu5, csStu2trans, read
eeStu5, csStu2trans, readMyScores,
eeStu5, csStu3application, addScore
eeStu5, csStu3application, read
eeStu5, csStu3application, readMyScores,
eeStu5, csStu3trans, addScore
eeStu5, csStu3trans, read
eeStu5, csStu3trans, readMyScores,
eeStu5, csStu4application, addScore
eeStu5, csStu4application, read
eeStu5, csStu4application, readMyScores,
eeStu5, csStu4trans, addScore
eeStu5, csStu4trans, read
eeStu5, csStu4trans, readMyScores,
eeStu5, csStu5application, addScore
eeStu5, csStu5application, read
eeStu5, csStu5application, readMyScores,
eeStu5, csStu5trans, addScore
eeStu5, csStu5trans, read
eeStu5, csStu5trans, readMyScores,
eeStu5, ee101gradebook, addScore
eeStu5, ee101gradebook, read
eeStu5, ee101gradebook, readMyScores,
eeStu5, ee101gradebook, readScore
eeStu5, ee101roster, addScore
eeStu5, ee101roster, read
eeStu5, ee101roster, readMyScores,
eeStu5, ee601gradebook, addScore
eeStu5, ee601gradebook, read
eeStu5, ee601gradebook, readMyScores,
eeStu5, ee601gradebook, readScore
eeStu5, ee601roster, addScore
eeStu5, ee601roster, read
eeStu5, ee601roster, readMyScores,
eeStu5, ee602gradebook, addScore
eeStu5, ee602gradebook, read
eeStu5, ee602gradebook, readMyScores,
eeStu5, ee602gradebook, readScore
eeStu5, ee602roster, addScore
eeStu5, ee602roster, read
eeStu5, ee602roster, readMyScores,
eeStu5, eeStu1application, addScore
eeStu5, eeStu1application, read
eeStu5, eeStu1application, readMyScores,
eeStu5, eeStu1trans, addScore
eeStu5, eeStu1trans, read
eeStu5, eeStu1trans, readMyScores,
eeStu5, eeStu2application, addScore
eeStu5, eeStu2application, read
eeStu5, eeStu2application, readMyScores,
eeStu5, eeStu2trans, addScore
eeStu5, eeStu2trans, read
eeStu5, eeStu2trans, readMyScores,
eeStu5, eeStu3application, addScore
eeStu5, eeStu3application, read
eeStu5, eeStu3application, readMyScores,
eeStu5, eeStu3trans, addScore
eeStu5, eeStu3trans, read
eeStu5, eeStu3trans, readMyScores,
eeStu5, eeStu4application, addScore
eeStu5, eeStu4application, read
eeStu5, eeStu4application, readMyScores,
eeStu5, eeStu4trans, addScore
eeStu5, eeStu4trans, read
eeStu5, eeStu4trans, readMyScores,
eeStu5, eeStu5application, addScore
eeStu5, eeStu5application, read
eeStu5, eeStu5application, readMyScores,
eeStu5, eeStu5trans, addScore
eeStu5, eeStu5trans, readMyScores,
registrar1, application1, read
registrar1, application1, setStatus,
registrar1, application2, read
registrar1, application2, setStatus,
registrar1, cs101gradebook, read
registrar1, cs101gradebook, setStatus,
registrar1, cs101roster, setStatus,
registrar1, cs601gradebook, read
registrar1, cs601gradebook, setStatus,
registrar1, cs601roster, setStatus,
registrar1, cs602gradebook, read
registrar1, cs602gradebook, setStatus,
registrar1, cs602roster, setStatus,
registrar1, csStu1application, read
registrar1, csStu1application, setStatus,
registrar1, csStu1trans, setStatus,
registrar1, csStu2application, read
registrar1, csStu2application, setStatus,
registrar1, csStu2trans, setStatus,
registrar1, csStu3application, read
registrar1, csStu3application, setStatus,
registrar1, csStu3trans, setStatus,
registrar1, csStu4application, read
registrar1, csStu4application, setStatus,
registrar1, csStu4trans, setStatus,
registrar1, csStu5application, read
registrar1, csStu5application, setStatus,
registrar1, csStu5trans, setStatus,
registrar1, ee101gradebook, read
registrar1, ee101gradebook, setStatus,
registrar1, ee101roster, setStatus,
registrar1, ee601gradebook, read
registrar1, ee601gradebook, setStatus,
registrar1, ee601roster, setStatus,
registrar1, ee602gradebook, read
registrar1, ee602gradebook, setStatus,
registrar1, ee602roster, setStatus,
registrar1, eeStu1application, read
registrar1, eeStu1application, setStatus,
registrar1, eeStu1trans, setStatus,
registrar1, eeStu2application, read
registrar1, eeStu2application, setStatus,
registrar1, eeStu2trans, setStatus,
registrar1, eeStu3application, read
registrar1, eeStu3application, setStatus,
registrar1, eeStu3trans, setStatus,
registrar1, eeStu4application, read
registrar1, eeStu4application, setStatus,
registrar1, eeStu4trans, setStatus,
registrar1, eeStu5application, read
registrar1, eeStu5application, setStatus,
registrar1, eeStu5trans, setStatus,
registrar2, application1, read
registrar2, application1, setStatus,
registrar2, application2, read
registrar2, application2, setStatus,
registrar2, cs101gradebook, read
registrar2, cs101gradebook, setStatus,
registrar2, cs101roster, setStatus,
registrar2, cs601gradebook, read
registrar2, cs601gradebook, setStatus,
registrar2, cs601roster, setStatus,
registrar2, cs602gradebook, read
registrar2, cs602gradebook, setStatus,
registrar2, cs602roster, setStatus,
registrar2, csStu1application, read
registrar2, csStu1application, setStatus,
registrar2, csStu1trans, setStatus,
registrar2, csStu2application, read
registrar2, csStu2application, setStatus,
registrar2, csStu2trans, setStatus,
registrar2, csStu3application, read
registrar2, csStu3application, setStatus,
registrar2, csStu3trans, setStatus,
registrar2, csStu4application, read
registrar2, csStu4application, setStatus,
registrar2, csStu4trans, setStatus,
registrar2, csStu5application, read
registrar2, csStu5application, setStatus,
registrar2, csStu5trans, setStatus,
registrar2, ee101gradebook, read
registrar2, ee101gradebook, setStatus,
registrar2, ee101roster, setStatus,
registrar2, ee601gradebook, read
registrar2, ee601gradebook, setStatus,
registrar2, ee601roster, setStatus,
registrar2, ee602gradebook, read
registrar2, ee602gradebook, setStatus,
registrar2, ee602roster, setStatus,
registrar2, eeStu1application, read
registrar2, eeStu1application, setStatus,
registrar2, eeStu1trans, setStatus,
registrar2, eeStu2application, read
registrar2, eeStu2application, setStatus,
registrar2, eeStu2trans, setStatus,
registrar2, eeStu3application, read
registrar2, eeStu3application, setStatus,
registrar2, eeStu3trans, setStatus,
registrar2, eeStu4application, read
registrar2, eeStu4application, setStatus,
registrar2, eeStu4trans, setStatus,
registrar2, eeStu5application, read
registrar2, eeStu5application, setStatus,
registrar2, eeStu5trans, setStatus,

Total different lines: 1580
